EmployeeID,RateChangeDate,Rate,PayFrequency,ModifiedDate
4,2002-01-15T00:00:00,29.8462,2,2002-01-01 00:00:00.000000 UTC
6,1998-01-20T00:00:00,24.0,2,1998-01-06 00:00:00.000000 UTC
140,1999-03-04T00:00:00,39.06,2,1999-02-18 00:00:00.000000 UTC
96,1998-02-08T00:00:00,8.62,2,1998-01-25 00:00:00.000000 UTC
96,2001-10-01T00:00:00,13.5,2,2001-09-17 00:00:00.000000 UTC
274,2001-08-30T00:00:00,22.5,2,2001-08-16 00:00:00.000000 UTC
171,1999-03-18T00:00:00,6.5,1,1999-03-04 00:00:00.000000 UTC
34,1999-01-08T00:00:00,9.0,1,2004-07-31 00:00:00.000000 UTC
72,1999-01-27T00:00:00,9.0,1,2004-07-31 00:00:00.000000 UTC
195,1999-03-30T00:00:00,9.0,1,2004-07-31 00:00:00.000000 UTC
133,1999-02-27T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
180,1999-03-23T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
35,1999-01-08T00:00:00,9.5,2,2004-07-31 00:00:00.000000 UTC
196,1999-03-30T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
86,1999-02-03T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
110,1999-02-15T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
61,1999-01-20T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
50,1999-01-15T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
167,1999-03-16T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
209,1999-04-06T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
73,1999-01-27T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
142,1999-03-04T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
32,1999-01-08T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
121,1999-02-21T00:00:00,9.5,2,2004-07-31 00:00:00.000000 UTC
205,1999-04-04T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
97,1999-02-08T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
124,1999-02-22T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
33,1999-01-08T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
20,1999-01-02T00:00:00,9.5,1,2004-07-31 00:00:00.000000 UTC
211,1999-04-07T00:00:00,10.0,1,2004-07-31 00:00:00.000000 UTC
126,1999-02-23T00:00:00,10.0,1,2004-07-31 00:00:00.000000 UTC
98,1999-02-09T00:00:00,10.0,1,2004-07-31 00:00:00.000000 UTC
22,1999-01-03T00:00:00,10.0,1,2004-07-31 00:00:00.000000 UTC
112,1999-02-16T00:00:00,10.0,1,2004-07-31 00:00:00.000000 UTC
155,1999-03-12T00:00:00,10.0,1,2004-07-31 00:00:00.000000 UTC
181,1999-03-24T00:00:00,10.0,1,2004-07-31 00:00:00.000000 UTC
75,1999-01-28T00:00:00,10.0,1,2004-07-31 00:00:00.000000 UTC
144,1999-03-06T00:00:00,10.0,1,2004-07-31 00:00:00.000000 UTC
88,1999-02-04T00:00:00,10.0,1,2004-07-31 00:00:00.000000 UTC
